Student ID, Course ID, Midterm, Final, Total 
20201701057, CMPE241, 40, 100, 
20201701056, CMPE241, 55, 67,  
20201701048, CMPE241, 34, 45, 
20191601048, CMPE241, 26, 55, 
20192301047, CMPO241, 100, 100, 
20201701057, CMPE341, 80, 85, 
20201701056, CMPE341, 78, 65, 
20201701057, CMPE343, 45, 60, 
20201701056, CMPE343, 13, 90, 
20201701048, CMPE343, 34, 87, 
20201701057, CMPE351, 90, 90, 
20201701056, CMPE351, 89, 79, 
20201701057, CMPE353, 100, 100, 
20201701056, CMPE353, 45, 67, 
20201701048, CMPE353, 56, 78, 
20192301047, CMPE353, 40, 50, 
